"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","WCSALARIES11","Agriculture, Hunting and related services","Salaries and wages Western Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","11761437","12858664"
"P1101","Agricultural survey","ECSALARIES11","Agriculture, Hunting and related services","Salaries and wages Eastern Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","3895254","4403846"
"P1101","Agricultural survey","NCSALARIES11","Agriculture, Hunting and related services","Salaries and wages Northern Cape","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","2577223","2880615"
"P1101","Agricultural survey","FSSALARIES11","Agriculture, Hunting and related services","Salaries and wages Free State","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","3201079","4065751"
"P1101","Agricultural survey","KZNSALARIES11","Agriculture, Hunting and related services","Salaries and wages Kwazulu-Natal","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","5525008","6104887"
"P1101","Agricultural survey","NWSALARIES11","Agriculture, Hunting and related services","Salaries and wages North West","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","4402826","4221290"
"P1101","Agricultural survey","GPSALARIES11","Agriculture, Hunting and related services","Salaries and wages Gauteng","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","4381468","5046480"
"P1101","Agricultural survey","MPSALARIES11","Agriculture, Hunting and related services","Salaries and wages Mpumalanga","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","4515453","5027396"
"P1101","Agricultural survey","LPSALARIES11","Agriculture, Hunting and related services","Salaries and wages Limpopo","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","5428709","5695447"
"P1101","Agricultural survey","TOTALSALARIES11","Agriculture, Hunting and related services","Salaries and wages Total","South Africa","Current prices","R'000","Annually","","","","","","","","","","","","45688457","50304376"
"P1101","Agricultural survey","WCEMPL11","Agriculture, Hunting and related services","Employment Western Cape","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","186553","186659"
"P1101","Agricultural survey","ECEMPL11","Agriculture, Hunting and related services","Employment Eastern Cape","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","70554","74163"
"P1101","Agricultural survey","NCEMPL11","Agriculture, Hunting and related services","Employment Northern Cape","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","61910","66314"
"P1101","Agricultural survey","FSEMPL11","Agriculture, Hunting and related services","Employment Free State","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","67996","73972"
"P1101","Agricultural survey","KZNEMPL11","Agriculture, Hunting and related services","Employment Kwazulu-Natal","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","97263","105076"
"P1101","Agricultural survey","NWEMPL11","Agriculture, Hunting and related services","Employment North West","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","66628","63115"
"P1101","Agricultural survey","GPEMPL11","Agriculture, Hunting and related services","Employment Gauteng","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","50955","53703"
"P1101","Agricultural survey","MPEMPL11","Agriculture, Hunting and related services","Employment Mpumalanga","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","72046","80596"
"P1101","Agricultural survey","LPEMPL11","Agriculture, Hunting and related services","Employment Limpopo","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","106152","97905"
"P1101","Agricultural survey","TOTALEMPL11","Agriculture, Hunting and related services","Employment Total","South Africa","Number of employees","Number","Annually","","","","","","","","","","","","780057","801503"
