"H01","H02","H03","H04","H06","H13","H15","H17","H25","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2019","Y2020","Y2021"
"P1101","Agricultural survey","EXPANIMALP11","Agriculture, Hunting and related services","Purchases of animal products","South Africa","Current prices","R'000","Annually","1197723","1902965","1398339","1212492","","","2063711","2095226","2106425","2077891","3110303","2864726","3122109"
"P1101","Agricultural survey","EXPFEED11","Agriculture, Hunting and related services","Purchases of feed and supplements for livestock, poultry and aquaculture","South Africa","Current prices","R'000","Annually","14471319","19738878","20341046","22084739","24103613","25894276","30678167","33283000","39331454","44068760","42794695","47759545","49099086"
"P1101","Agricultural survey","EXPREMANIM11","Agriculture, Hunting and related services","Purchases of remedies for combating diseases and pests in livestock and poultry","South Africa","Current prices","R'000","Annually","1266573","1114142","1205804","","","","2137060","2745219","2802686","3328648","4248030","3839203","4256494"
"P1101","Agricultural survey","EXPANICRP11","Agriculture, Hunting and related services","Remedies for animals and crops (include veterinary services and plant pathologists)","South Africa","Current prices","R'000","Annually","","","","5152169","5705227","6612686","","","","","","",""
"P1101","Agricultural survey","EXPHEALTHP11","Agriculture, Hunting and related services","Plant / animal health services","South Africa","Current prices","R'000","Annually","414976","455836","474395","","","","","","","","","",""
"P1101","Agricultural survey","EXPCONT11","Agriculture, Hunting and related services","Purchases of containers, pallets and packing materials","South Africa","Current prices","R'000","Annually","3200691","3898926","4193332","4591110","5074957","5654536","6952778","7347003","8201494","9736759","11432685","12280284","14912967"
"P1101","Agricultural survey","EXPCLOTH11","Agriculture, Hunting and related services","Protective clothing","South Africa","Current prices","R'000","Annually","112520","128840","136973","","","","","","","","","",""
"P1101","Agricultural survey","EXPFUEL11","Agriculture, Hunting and related services","Purchases of fuel, lubricants and grease","South Africa","Current prices","R'000","Annually","4959907","6513452","5666176","6400608","7577199","8718163","9308392","9665521","9124073","10666298","12647312","11857392","12494784"
"P1101","Agricultural survey","EXPOTPU11","Agriculture, Hunting and related services","Other purchases","South Africa","Current prices","R'000","Annually","","","","","","","7157398","6026484","6211520","11013503","12925532","14169830","16175279"
"P1101","Agricultural survey","EXPACC11","Agriculture, Hunting and related services","Accounting fees","South Africa","Current prices","R'000","Annually","337998","379441","428155","470202","490765","","","","","","","",""
"P1101","Agricultural survey","EXPPRO11","Agriculture, Hunting and related services","Property rates paid to municipalities","South Africa","Current prices","R'000","Annually","84852","84682","92817","","","","","","","","","",""
"P1101","Agricultural survey","EXPLICE11","Agriculture, Hunting and related services","Licence fees","South Africa","Current prices","R'000","Annually","196779","228556","220120","","","","","","","","","",""
"P1101","Agricultural survey","EXPMEB11","Agriculture, Hunting and related services","Membership fees","South Africa","Current prices","R'000","Annually","97903","124560","123435","","","","","","","","","",""
"P1101","Agricultural survey","EXPEXC11","Agriculture, Hunting and related services","Excise and custom duties","South Africa","Current prices","R'000","Annually","152383","","","","","","","","","","","",""
"P1101","Agricultural survey","EXPRESC11","Agriculture, Hunting and related services","Research costs","South Africa","Current prices","R'000","Annually","","33499","59101","","","","","","","","","",""
"P1101","Agricultural survey","EXPIMPO11","Agriculture, Hunting and related services","Import and export costs","South Africa","Current prices","R'000","Annually","","","","823739","854347","","1123576","1124048","1190578","","","",""
"P1101","Agricultural survey","EXPSALAR11","Agriculture, Hunting and related services","Salaries and wages","South Africa","Current prices","R'000","Annually","11270000","13498258","15220184","17952742","19013984","21376264","23906057","28510680","32224734","36036955","43913067","45688457","50304376"
"P1101","Agricultural survey","EXPREPIAR11","Agriculture, Hunting and related services","Repairs and maintenance","South Africa","Current prices","R'000","Annually","5475266","6563286","7440570","8283007","9594545","9300771","10761975","12993804","13396042","15487521","17660855","16131998","18294677"
"P1101","Agricultural survey","EXPDEPR11","Agriculture, Hunting and related services","Depreciation","South Africa","Current prices","R'000","Annually","5019839","6354631","6833419","7466401","7789622","8878042","9845035","11054248","13228065","14768640","15631570","15957669","17259302"
"P1101","Agricultural survey","EXPINTER11","Agriculture, Hunting and related services","Interest","South Africa","Current prices","R'000","Annually","3798975","4856795","4803196","4305764","5023724","5141774","5716982","7116303","8896772","9807139","10702270","11969526","10522606"
